"ppltrst","lrscale","gender","age","married","urban","native","edulevel","paidwork","cntry"
NA,4,1,55,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,47,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,48,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,0,43,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,8,0,34,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,1,0,64,1,1,1,"Lang videreg?ende",0,"DK"
NA,2,0,28,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,24,0,1,1,"Erhvervsuddannelse",1,"DK"
7,5,1,32,1,1,1,"Gymnasium",1,"DK"
NA,8,0,66,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
9,3,0,36,0,1,1,"Erhvervsuddannelse",0,"DK"
NA,6,0,41,0,1,1,"Lang videreg?ende",1,"DK"
NA,4,0,49,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,0,49,0,1,1,"Lang videreg?ende",0,"DK"
NA,5,0,17,0,0,0,"Gymnasium",0,"DK"
NA,6,1,86,0,1,1,"Erhvervsuddannelse",0,"DK"
NA,8,0,55,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,44,0,0,1,"Gymnasium",1,"DK"
NA,2,0,23,0,0,1,"Gymnasium",0,"DK"
NA,8,1,67,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,1,18,0,0,1,"Gymnasium",0,"DK"
NA,4,1,64,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,10,0,68,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,7,1,55,1,0,1,"Gymnasium",1,"DK"
3,6,0,76,1,1,1,"Grundskole",0,"DK"
NA,7,0,90,0,1,0,"Gymnasium",0,"DK"
NA,7,1,16,0,0,1,"Gymnasium",0,"DK"
NA,2,1,26,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,1,51,1,1,1,"Lang videreg?ende",1,"DK"
NA,0,1,62,1,1,1,"Lang videreg?ende",1,"DK"
NA,6,1,72,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,5,0,27,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,1,63,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,1,0,68,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,8,1,67,1,0,1,"Grundskole",0,"DK"
NA,5,1,28,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,3,1,22,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,5,0,62,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,0,67,1,0,1,"Gymnasium",0,"DK"
NA,2,0,35,1,0,1,"Gymnasium",0,"DK"
NA,8,1,73,1,1,1,"Erhvervsuddannelse",1,"DK"
NA,5,0,58,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,0,23,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,4,0,64,1,0,1,"Gymnasium",0,"DK"
5,NA,0,59,0,1,1,"Gymnasium",0,"DK"
NA,7,0,27,1,1,1,"Lang videreg?ende",0,"DK"
NA,8,1,64,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,1,87,0,0,1,"Erhvervsuddannelse",0,"DK"
8,2,0,35,1,1,0,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,34,0,1,1,"Lang videreg?ende",1,"DK"
NA,7,1,63,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,0,15,0,1,0,"Grundskole",1,"DK"
7,3,0,52,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,7,0,32,1,0,1,"Lang videreg?ende",1,"DK"
NA,2,0,16,0,0,1,"Gymnasium",0,"DK"
NA,5,0,42,1,1,0,"Lang videreg?ende",1,"DK"
NA,5,0,51,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,7,1,40,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,1,0,45,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,18,0,0,1,"Gymnasium",0,"DK"
NA,2,1,61,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,6,0,74,1,0,1,"Grundskole",0,"DK"
NA,6,1,28,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,55,0,0,1,"Erhvervsuddannelse",0,"DK"
NA,2,1,37,0,1,1,"Lang videreg?ende",1,"DK"
NA,3,1,32,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,0,31,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,1,72,1,1,1,"Gymnasium",0,"DK"
NA,9,1,76,1,0,1,"Lang videreg?ende",1,"DK"
NA,8,1,23,0,0,1,"Erhvervsuddannelse",0,"DK"
4,7,1,45,1,0,1,"Gymnasium",1,"DK"
NA,5,0,47,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,0,50,1,1,0,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,59,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,79,1,0,1,"Grundskole",0,"DK"
NA,4,1,26,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,5,0,66,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,2,0,57,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,10,1,45,0,1,1,"Gymnasium",0,"DK"
NA,1,0,61,0,1,1,"Lang videreg?ende",1,"DK"
NA,2,0,70,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,2,0,69,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,5,0,59,1,1,1,"Erhvervsuddannelse",1,"DK"
NA,8,0,42,1,1,1,"Lang videreg?ende",1,"DK"
NA,5,1,52,0,1,1,"Gymnasium",1,"DK"
NA,4,0,73,1,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,4,1,81,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,7,0,43,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,81,1,0,1,"Grundskole",0,"DK"
NA,1,0,61,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,4,0,57,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,6,0,24,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,43,0,1,1,"Gymnasium",0,"DK"
NA,7,1,56,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,0,28,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,2,1,63,1,1,1,"Erhvervsuddannelse",0,"DK"
NA,4,1,26,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,5,1,22,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,7,1,47,1,1,1,"Lang videreg?ende",1,"DK"
NA,4,0,52,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
9,5,0,27,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,52,1,1,1,"Erhvervsuddannelse",1,"DK"
NA,8,0,67,1,0,1,"Gymnasium",0,"DK"
NA,NA,1,72,1,1,1,"Grundskole",0,"DK"
NA,8,1,31,0,1,1,"Erhvervsuddannelse",1,"DK"
4,6,1,47,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,0,25,0,1,1,"Lang videreg?ende",1,"DK"
NA,5,0,79,0,1,1,"Gymnasium",0,"DK"
NA,1,1,66,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
8,8,0,68,0,0,1,"Gymnasium",0,"DK"
NA,4,0,37,1,1,1,"Lang videreg?ende",1,"DK"
NA,1,0,59,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,48,1,1,1,"Lang videreg?ende",1,"DK"
NA,6,0,52,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,3,0,66,1,0,1,"Gymnasium",0,"DK"
NA,8,1,74,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,2,0,45,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,1,72,1,0,1,"Erhvervsuddannelse",0,"DK"
8,6,1,56,1,0,1,"Gymnasium",1,"DK"
3,NA,0,32,0,0,0,"Lang videreg?ende",1,"DK"
NA,5,1,59,1,1,0,"Gymnasium",0,"DK"
NA,9,0,66,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,3,0,55,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,7,0,83,1,0,1,"Grundskole",0,"DK"
NA,NA,1,61,0,0,1,"Grundskole",1,"DK"
NA,5,1,67,0,1,1,"Erhvervsuddannelse",0,"DK"
NA,5,1,30,1,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,62,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,2,1,27,0,1,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,6,0,60,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,7,1,50,1,1,1,"Lang videreg?ende",1,"DK"
NA,3,1,47,1,0,1,"Erhvervsuddannelse",1,"DK"
5,5,0,29,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,4,1,25,0,1,1,"Erhvervsuddannelse",1,"DK"
NA,7,0,19,0,0,1,"Gymnasium",1,"DK"
NA,9,0,66,1,0,1,"Lang videreg?ende",0,"DK"
NA,5,1,28,1,1,1,"Erhvervsuddannelse",1,"DK"
NA,10,1,35,1,0,1,"Erhvervsuddannelse",1,"DK"
NA,9,1,26,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,8,1,73,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,3,1,33,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,0,0,57,0,1,1,"Gymnasium",1,"DK"
NA,4,0,51,0,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,5,1,68,1,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,7,1,56,1,1,1,"Gymnasium",1,"DK"
NA,10,1,76,1,0,1,"Erhvervsuddannelse",0,"DK"
NA,6,1,39,1,1,1,"Lang videreg?ende",1,"DK"
NA,8,1,59,0,0,1,"Erhvervsuddannelse",1,"DK"
NA,5,0,65,0,0,1,"Gymnasium",0,"DK"
NA,5,1,61,1,1,0,"Gymnasium",1,"DK"
NA,0,0,80,0,0,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,4,1,48,1,1,1,"Lang videreg?ende",1,"DK"
NA,8,0,46,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,8,0,48,1,0,1,"Lang videreg?ende",1,"DK"
NA,4,0,61,1,0,1,"Kort/Mellemlang videreg?ende",1,"DK"
NA,7,1,66,1,0,1,"Gymnasium",0,"DK"
NA,10,0,82,0,1,1,"Kort/Mellemlang videreg?ende",0,"DK"
NA,4,1,48,1,0,1,"Erhvervsuddannelse",1,"DK"
